vehicle_id,current_location,route_origin,route_destination,capacity_kg,current_load_kg,departure_time,eta,vehicle_status,transport_cost,vehicle_type,average_speed_kmph
V058,Chennai,Chennai,Kochi,400,138,2026-09-18 20:00:00,2026-09-19 07:24:00,Available,1924.0,Van,61
V059,Chennai,Chennai,Vijayawada,700,316,2026-09-18 20:00:00,2026-09-19 04:00:00,Available,1906.0,Van,56
V060,Mumbai,Mumbai,Ahmedabad,400,84,2026-09-18 21:00:00,2026-09-19 02:00:00,In Transit,2240.0,Large Truck,42
V061,Hyderabad,Hyderabad,Visakhapatnam,700,411,2026-09-18 18:00:00,2026-09-19 03:54:00,In Transit,2140.0,Van,49
V062,Mumbai,Mumbai,Pune,700,382,2026-09-18 22:00:00,2026-09-18 22:06:00,Available,1134.0,Van,50
V063,Delhi,Delhi,Jaipur,700,204,2026-09-18 17:00:00,2026-09-18 20:48:00,Available,1310.0,Truck,61
V064,Chennai,Chennai,Vijayawada,250,104,2026-09-18 16:00:00,2026-09-19 00:00:00,Available,2074.0,Van,52
V065,Delhi,Delhi,Jaipur,250,44,2026-09-18 18:00:00,2026-09-18 22:48:00,Unavailable,1548.0,Truck,52
V066,Chennai,Chennai,Vijayawada,250,158,2026-09-18 19:00:00,2026-09-19 03:00:00,Available,1655.0,Van,44
V067,Chennai,Chennai,Kochi,400,238,2026-09-18 20:00:00,2026-09-19 06:24:00,Available,2016.0,Van,57
V068,Chennai,Chennai,Vijayawada,400,242,2026-09-18 21:00:00,2026-09-19 02:00:00,Unavailable,1550.0,Truck,48
V069,Delhi,Delhi,Jaipur,400,113,2026-09-18 16:00:00,2026-09-18 23:48:00,Available,1396.0,Large Truck,43
V070,Bengaluru,Bengaluru,Hyderabad,400,77,2026-09-18 17:00:00,2026-09-19 04:54:00,Available,2418.0,Truck,61
V071,Mumbai,Mumbai,Ahmedabad,700,151,2026-09-18 22:00:00,2026-09-19 03:00:00,Available,2150.0,Truck,45
V072,Bengaluru,Bengaluru,Chennai,1200,179,2026-09-18 18:00:00,2026-09-18 22:18:00,Available,1391.0,Truck,42
